SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
ASL,14.51,14.60,15.59,14.60,15.20,0.69,4.76%,"43,840,500"
UNITY,18.09,18.50,19.30,18.50,18.85,0.76,4.20%,"36,796,500"
FFL,19.32,19.34,19.75,19.05,19.34,0.02,0.10%,"24,578,500"
PIBTL,13.98,14.14,14.18,13.58,13.78,-0.20,-1.43%,"24,136,000"
KEL,4.28,4.30,4.47,4.27,4.30,0.02,0.47%,"21,943,500"
HASCOL,22.02,21.90,22.09,21.65,21.75,-0.27,-1.23%,"10,370,000"
PSX,16.41,16.50,17.50,16.15,16.74,0.33,2.01%,"9,092,000"
NBP,41.02,41.00,41.14,40.53,40.60,-0.42,-1.02%,"6,811,000"
KAPCO,28.10,28.00,28.05,27.31,27.45,-0.65,-2.31%,"6,231,500"
PRL,22.35,22.19,22.45,21.62,21.70,-0.65,-2.91%,"6,078,000"
ASC,19.94,20.10,20.79,19.76,20.42,0.48,2.41%,"4,939,000"
FFBL,23.03,23.08,23.10,22.55,22.68,-0.35,-1.52%,"4,893,500"
NCL,40.58,40.50,42.02,40.50,41.30,0.72,1.77%,"4,496,000"
TRG,57.45,57.50,57.85,55.80,56.35,-1.10,-1.91%,"4,314,000"
POWER,9.42,9.46,9.50,9.30,9.36,-0.06,-0.64%,"4,069,500"
JSBL,7.14,7.10,7.18,6.80,6.87,-0.27,-3.78%,"4,012,500"
BYCO,10.85,10.79,10.85,10.53,10.60,-0.25,-2.30%,"3,602,000"
PTC,11.63,11.52,11.70,11.43,11.56,-0.07,-0.60%,"3,458,500"
THCCL,21.56,23.00,23.17,21.90,23.17,1.61,7.47%,"3,141,000"
DCL,11.17,11.25,11.62,11.05,11.52,0.34,3.04%,"2,877,500"
PREMA,23.15,23.90,24.18,23.00,23.01,-0.14,-0.60%,"2,872,000"
BOP,9.85,9.86,9.91,9.77,9.78,-0.07,-0.71%,"2,812,000"
PAEL,38.21,38.29,38.51,37.90,38.15,-0.06,-0.16%,"2,685,500"
MLCF,39.48,39.48,39.60,38.98,39.10,-0.38,-0.96%,"2,556,000"
SNGP,63.95,63.76,65.70,63.65,64.51,0.56,0.88%,"2,367,500"
FCCL,21.54,21.54,21.59,21.30,21.31,-0.23,-1.07%,"2,134,000"
JSCL,28.52,28.15,28.55,27.30,27.60,-0.92,-3.23%,"2,004,000"
PIAA,5.31,5.35,5.36,5.20,5.25,-0.06,-1.13%,"1,745,000"
DSLDEF,4.95,5.10,5.34,4.90,5.01,0.06,1.21%,"1,721,000"
WAVES,30.48,30.35,31.20,30.00,30.75,0.27,0.89%,"1,713,500"
DFMLDEF,9.32,9.50,10.05,9.43,9.60,0.28,3.00%,"1,613,000"
SMBLDEF,2.07,2.03,2.18,1.98,2.09,0.02,0.97%,"1,563,000"
STCL,12.87,13.00,13.60,12.99,13.25,0.38,2.95%,"1,424,000"
CLOV,112.44,114.99,114.99,106.00,106.00,-6.44,-5.73%,"1,336,000"
FNEL,19.61,19.60,20.39,19.60,19.85,0.24,1.22%,"1,331,500"
NML,106.07,107.20,107.60,103.50,103.94,-2.13,-2.01%,"1,241,500"
SILK,1.10,1.09,1.14,1.09,1.09,-0.01,-0.91%,"1,228,500"
UBL,128.93,129.95,129.95,127.20,127.23,-1.70,-1.32%,"1,227,454"
BGL,8.12,8.15,8.65,8.05,8.30,0.18,2.22%,"1,211,500"
PPL,98.71,98.35,98.98,97.91,98.00,-0.71,-0.72%,"1,133,533"
SSGC,17.10,17.10,17.45,16.86,17.19,0.09,0.53%,"1,057,000"
CSIL,3.44,3.58,3.59,3.40,3.47,0.03,0.87%,"993,500"
EPCL,43.20,42.70,44.15,42.70,43.40,0.20,0.46%,"971,500"
LOADS,21.58,21.61,22.25,21.05,21.24,-0.34,-1.58%,"912,000"
TOMCL,30.55,30.61,30.80,29.55,29.71,-0.84,-2.75%,"890,000"
WTL,1.27,1.29,1.29,1.25,1.26,-0.01,-0.79%,"877,000"
DGKC,112.03,111.01,112.50,110.50,111.25,-0.78,-0.70%,"871,000"
SPEL,46.82,47.10,49.51,47.10,48.30,1.48,3.16%,"832,500"
LPL,14.78,14.51,15.10,14.51,14.57,-0.21,-1.42%,"786,000"
STPL,13.32,13.55,13.70,13.25,13.40,0.08,0.60%,"775,500"
AVN,66.99,67.00,67.00,65.30,65.84,-1.29,-1.92%,"713,000"
ITTEFAQ,15.76,15.99,16.49,15.65,16.10,0.34,2.16%,"701,000"
ASTL,50.90,51.05,51.06,50.32,50.33,-0.57,-1.12%,"691,000"
TREET,27.39,27.41,27.90,27.26,27.30,-0.09,-0.33%,"644,000"
GHNI,282.70,283.00,287.85,280.01,281.70,-1.00,-0.35%,"639,200"
HCAR,305.44,305.02,328.00,304.00,318.00,12.56,4.11%,"619,100"
ESBL,13.91,14.00,14.95,14.00,14.10,0.19,1.37%,"584,000"
TPL,6.46,6.40,6.40,6.19,6.28,-0.17,-2.64%,"571,000"
PSO,207.22,207.10,207.99,204.50,205.00,-2.22,-1.07%,"522,577"
ISL,83.04,83.10,83.44,82.12,82.25,-0.79,-0.95%,"522,000"
MEBLXB,84.80,84.50,84.80,83.53,83.59,-1.21,-1.43%,"512,500"
TRPOL,10.09,10.11,10.28,9.99,10.15,0.06,0.59%,"509,000"
GLAXO,183.57,184.00,188.40,183.00,186.50,2.93,1.60%,"465,100"
AGL,5.46,5.47,5.58,5.37,5.39,-0.07,-1.28%,"464,500"
KOSM,2.78,2.80,2.80,2.70,2.79,0.01,0.36%,"458,000"
RPL,39.44,38.51,39.50,38.02,38.50,-0.94,-2.38%,"455,500"
EFERTXD,60.85,60.69,60.90,60.50,60.55,-0.30,-0.49%,"444,803"
GATM,39.01,39.50,39.60,38.80,38.81,-0.20,-0.51%,"444,000"
LOTCHEM,13.36,13.27,13.37,13.21,13.25,-0.11,-0.82%,"440,500"
NRSL,10.40,10.30,10.40,10.03,10.05,-0.35,-3.37%,"412,500"
OGDC,112.35,112.45,112.45,110.55,110.69,-1.66,-1.48%,"410,820"
QUICE,5.82,5.82,5.90,5.70,5.70,-0.12,-2.06%,"407,000"
MDTL,1.69,1.79,1.79,1.55,1.60,-0.09,-5.33%,"401,500"
TELE,2.09,2.06,2.06,1.99,2.00,-0.09,-4.31%,"400,000"
ICIBL,1.14,1.14,1.14,1.06,1.09,-0.05,-4.39%,"374,000"
PACE,3.81,3.75,3.77,3.65,3.70,-0.11,-2.89%,"372,500"
MODAM,6.00,7.00,7.00,6.84,7.00,1.00,16.67%,"369,000"
MFL,25.18,24.98,25.45,24.60,24.85,-0.33,-1.31%,"345,500"
HUMNL,8.45,8.47,8.58,8.40,8.40,-0.05,-0.59%,"335,000"
DOL,47.67,47.75,47.95,46.87,47.25,-0.42,-0.88%,"309,000"
ECOP,19.92,20.25,20.50,19.80,19.75,-0.12,-0.60%,"301,000"
TPLP,10.61,10.70,10.70,10.29,10.48,-0.13,-1.23%,"297,000"
PASL,1.12,1.13,1.15,1.10,1.12,0.00,0.00%,"283,500"
BAHL,65.83,65.28,65.83,65.28,65.60,-0.23,-0.35%,"264,235"
PSMC,230.05,228.05,235.85,226.50,232.00,1.95,0.85%,"258,700"
HUBC,84.57,84.50,85.10,83.90,84.21,-0.37,-0.44%,"257,591"
NCPL,14.89,14.71,15.00,14.62,14.90,0.01,0.07%,"254,000"
POL,433.95,435.00,438.00,433.01,435.00,1.05,0.24%,"251,829"
MERIT,15.28,15.30,15.48,15.04,15.05,-0.23,-1.51%,"237,500"
NETSOL,72.97,73.01,73.50,72.00,72.05,-0.92,-1.26%,"232,000"
HTL,45.52,45.45,46.45,45.00,45.11,-0.41,-0.90%,"223,500"
SERF,8.47,8.58,8.65,8.35,8.55,0.08,0.94%,"222,500"
SPL,26.27,26.35,27.00,26.00,26.20,-0.07,-0.27%,"220,000"
LUCK,661.38,660.00,661.99,655.00,660.00,-1.38,-0.21%,"217,508"
MUGHAL,70.03,70.00,70.00,68.76,68.76,-1.27,-1.81%,"210,500"
GTYR,74.74,74.41,75.06,74.00,74.50,-0.24,-0.32%,"210,500"
NRL,202.39,202.70,203.00,199.00,200.00,-2.39,-1.18%,"209,700"
ATRL,166.33,167.48,167.48,163.00,163.75,-2.58,-1.55%,"201,000"
GHNL,102.59,101.50,103.60,99.61,101.49,-1.10,-1.07%,"201,000"
DCR,11.00,11.10,11.10,11.00,11.00,0.00,0.00%,"199,000"
FDIBL,2.51,2.68,2.68,2.48,2.50,-0.01,-0.40%,"196,500"
INIL,162.82,160.56,162.00,159.50,160.30,-2.52,-1.55%,"192,500"
SINDM,11.75,12.10,12.50,11.90,12.00,0.25,2.13%,"192,500"
EFGH,28.55,27.75,28.20,26.41,26.85,-1.70,-5.95%,"191,000"
SAZEW,172.38,172.05,172.90,169.50,169.90,-2.48,-1.44%,"185,100"
PIOC,96.52,95.80,96.48,95.51,95.55,-0.97,-1.00%,"184,000"
GGL,16.53,16.36,16.49,16.24,16.27,-0.26,-1.57%,"182,500"
UCAPMDEF,1.04,1.02,1.22,1.02,1.15,0.11,10.58%,"180,500"
CHCC,130.09,131.00,131.77,128.50,129.05,-1.04,-0.80%,"175,000"
GAIL,6.90,6.90,6.96,6.73,6.75,-0.15,-2.17%,"164,000"
GGGL,14.93,15.00,15.15,14.90,15.06,0.13,0.87%,"152,500"
ILP,62.05,62.00,63.00,61.55,62.25,0.20,0.32%,"147,000"
BAFL,35.92,35.80,35.99,35.75,35.82,-0.10,-0.28%,"146,546"
KOIL,5.22,5.11,5.16,5.00,5.10,-0.12,-2.30%,"140,000"
BIPL,11.12,10.85,11.05,10.85,10.90,-0.22,-1.98%,"137,000"
SEARL,268.94,268.30,269.50,267.50,268.00,-0.94,-0.35%,"135,400"
FCSC,1.74,1.87,1.87,1.70,1.75,0.01,0.57%,"131,500"
ENGROXD,306.53,307.00,307.00,303.10,303.64,-2.89,-0.94%,"127,866"
NATF,282.91,287.00,296.89,284.00,289.00,6.09,2.15%,"120,800"
HGFA,10.70,10.40,10.40,9.80,10.00,-0.70,-6.54%,"117,500"
DFSM,2.08,1.95,2.10,1.94,2.01,-0.07,-3.37%,"116,500"
TGL,94.45,94.45,94.49,93.05,93.25,-1.20,-1.27%,"114,000"
RICL,7.01,7.19,7.20,7.00,7.00,-0.01,-0.14%,"111,000"
MCB,178.84,178.98,178.98,177.50,178.06,-0.78,-0.44%,"102,756"
FCEPL,87.05,86.01,87.00,85.30,85.50,-1.55,-1.78%,"102,500"
IGIL,42.00,42.00,43.50,42.00,43.50,1.50,3.57%,"96,500"
AKBL,19.31,19.30,19.30,19.13,19.30,-0.01,-0.05%,"86,000"
FFCXD,111.66,111.60,111.60,110.32,110.50,-1.16,-1.04%,"84,080"
CRTM,22.23,21.92,22.25,21.92,22.00,-0.23,-1.03%,"84,000"
KTML,60.43,62.90,62.90,60.00,60.10,-0.33,-0.55%,"82,500"
SMCPL,8.34,8.73,8.73,8.38,8.40,0.06,0.72%,"82,000"
SKRS,10.05,10.06,10.14,9.71,9.80,-0.25,-2.49%,"79,500"
ANL,20.44,20.49,20.50,20.15,20.15,-0.29,-1.42%,"78,500"
CEPB,118.95,118.10,119.00,117.35,118.00,-0.95,-0.80%,"71,500"
DKLDEF,5.01,5.00,5.08,4.95,4.95,-0.06,-1.20%,"69,500"
SHEL,248.73,245.02,247.50,244.02,244.21,-4.52,-1.82%,"66,600"
PMI,1.52,1.66,1.66,1.40,1.40,-0.12,-7.89%,"64,500"
GHGL,54.00,54.00,54.00,53.00,53.50,-0.50,-0.93%,"64,000"
SPLCDEF,2.10,2.15,2.15,1.91,2.00,-0.10,-4.76%,"62,000"
POWERPS,10.00,10.30,10.49,10.06,10.20,0.20,2.00%,"62,000"
HBL,134.22,134.49,134.49,132.80,133.29,-0.93,-0.69%,"57,476"
HRPL,37.85,38.48,38.75,38.00,38.20,0.35,0.92%,"56,500"
ICL,30.30,30.24,30.25,29.00,29.20,-1.10,-3.63%,"55,000"
AGP,115.12,115.00,116.45,114.90,115.80,0.68,0.59%,"55,000"
GRYL,6.77,7.59,7.59,6.99,7.00,0.23,3.40%,"54,500"
AICL,42.81,42.98,42.99,42.10,42.49,-0.32,-0.75%,"53,500"
YOUW,3.76,3.73,3.87,3.66,3.72,-0.06,-1.59%,"52,000"
PILDEF,1.30,1.37,1.40,1.35,1.38,0.08,6.15%,"49,000"
FLYNG,11.29,11.24,11.25,11.06,11.06,-0.23,-2.04%,"46,000"
EPQLXD,21.01,21.01,21.24,20.75,20.75,-0.26,-1.24%,"40,500"
CYAN,37.06,36.70,37.60,35.60,35.60,-1.46,-3.94%,"40,000"
CTM,3.98,4.00,4.08,4.00,4.00,0.02,0.50%,"40,000"
BNL,42.12,45.27,45.27,45.00,45.27,3.15,7.48%,"39,500"
SYS,301.63,301.10,303.85,298.01,299.01,-2.62,-0.87%,"39,000"
SPWLXD,17.21,17.25,17.25,16.92,16.92,-0.29,-1.69%,"38,500"
CWSM,2.11,2.26,2.26,2.15,2.12,0.04,1.92%,"36,500"
786,15.32,14.80,15.25,14.75,15.00,-0.32,-2.09%,"35,500"
FABL,17.75,17.65,17.78,17.55,17.55,-0.20,-1.13%,"35,500"
CPPL,196.34,193.00,194.00,191.00,192.00,-4.34,-2.21%,"35,200"
TPLT,10.16,10.01,10.14,9.90,9.90,-0.26,-2.56%,"33,500"
GWLC,26.12,25.81,26.00,25.50,26.00,-0.12,-0.46%,"31,000"
TRIPF,170.00,170.00,170.00,167.00,167.00,-3.00,-1.76%,"29,500"
SSOM,49.64,50.00,53.36,49.90,53.36,3.72,7.49%,"29,500"
HIRATDEF,2.82,2.85,2.95,2.76,2.85,0.03,1.06%,"29,000"
FEROZ,386.29,385.00,387.00,385.00,386.00,-0.29,-0.08%,"27,600"
UBDL,35.70,34.02,35.79,34.02,35.69,-0.95,-2.59%,"27,500"
PAKRI,29.00,29.00,29.00,28.61,28.70,-0.30,-1.03%,"26,000"
SMTM,3.73,3.88,3.95,3.80,3.81,0.08,2.14%,"25,500"
AHLXD,54.50,54.25,54.50,53.51,53.51,-0.99,-1.82%,"25,000"
MTL,911.94,939.00,939.00,897.00,897.00,-14.94,-1.64%,"24,400"
DAWHXD,125.04,125.04,125.90,122.50,123.00,-2.04,-1.63%,"23,200"
NITG-ETF,12.13,11.99,12.01,11.99,12.01,-0.12,-0.99%,"22,000"
ACPL,167.27,166.00,170.00,164.02,166.50,-0.77,-0.46%,"22,000"
MTILDEF,6.99,6.53,7.58,6.53,7.40,0.41,5.87%,"21,500"
ATBA,227.17,227.17,230.00,223.50,227.00,-0.17,-0.07%,"19,600"
KASBM,1.10,1.20,1.23,1.10,1.10,0.00,0.00%,"19,500"
OLPL,27.93,28.00,28.20,27.70,28.10,0.17,0.61%,"19,500"
PICT,189.23,189.00,189.00,186.00,186.00,-3.23,-1.71%,"17,200"
PSYL,18.15,18.25,18.30,18.00,18.00,-0.15,-0.83%,"17,000"
ADAMSDEF,23.00,21.60,22.80,21.55,22.00,-1.00,-4.35%,"16,500"
CHAS,90.93,93.00,95.00,92.96,93.10,2.17,2.39%,"16,500"
PIM,4.01,4.60,5.01,4.60,5.01,1.00,24.94%,"16,500"
GSKCH,305.70,307.78,310.00,306.00,306.00,0.30,0.10%,"16,300"
HINOON,643.08,640.00,640.00,630.01,639.99,-3.09,-0.48%,"16,150"
ARM,11.90,11.60,11.60,11.50,11.50,-0.40,-3.36%,"15,500"
TSPLXD,4.09,4.00,4.19,4.00,4.00,-0.09,-2.20%,"15,500"
HSM,19.25,19.00,19.62,19.00,19.62,0.37,1.92%,"15,500"
CSAP,82.18,82.86,82.86,81.50,80.95,-0.68,-0.83%,"15,000"
PKGP,20.33,20.00,20.00,19.50,19.50,-0.83,-4.08%,"14,500"
JATM,7.46,7.75,7.75,7.00,7.00,-0.46,-6.17%,"13,500"
DSIL,2.46,2.46,2.55,2.46,2.47,0.01,0.41%,"13,500"
BILFDEF,1.67,1.66,1.68,1.63,1.68,0.01,0.60%,"13,500"
FML,100.30,101.00,101.00,100.00,100.00,-0.30,-0.30%,"13,000"
GVGL,46.51,46.50,47.00,46.00,46.50,-0.01,-0.02%,"13,000"
PKGS,521.35,510.00,520.00,508.00,510.50,-10.85,-2.08%,"12,700"
PAKD,67.85,64.65,67.50,64.65,66.00,-1.85,-2.73%,"12,500"
NEXT,12.01,11.40,12.00,11.30,11.71,-0.30,-2.50%,"12,500"
FECTC,38.20,38.15,38.15,36.65,36.85,-1.35,-3.53%,"11,500"
SNBL,9.86,9.80,9.85,9.66,9.75,-0.11,-1.12%,"11,500"
PNSC,91.34,90.02,91.70,89.00,91.00,-0.34,-0.37%,"11,500"
PCAL,148.32,147.00,149.89,145.00,145.00,-3.32,-2.24%,"11,000"
KOHC,201.57,200.00,201.00,198.00,198.50,-3.07,-1.52%,"11,000"
IBLHL,84.35,85.00,85.00,83.50,84.00,-0.35,-0.41%,"10,500"
FECM,2.99,2.98,3.08,2.98,2.98,-0.01,-0.33%,"10,500"
FATIMA,29.21,29.30,29.50,29.25,29.25,0.04,0.14%,"10,500"
FUDLM,8.30,8.18,8.25,8.11,8.25,-0.05,-0.60%,"10,000"
REWM,28.50,28.00,28.50,28.00,28.50,0.00,0.00%,"10,000"
PAKMI,1.90,2.08,2.09,1.95,1.96,0.06,3.16%,"10,000"
THALL,428.82,429.00,429.95,425.50,428.50,-3.32,-0.77%,"9,800"
BIFO,176.47,177.00,177.00,175.56,175.60,-0.87,-0.49%,"9,800"
AGSML,3.18,3.09,3.18,3.00,3.18,0.00,0.00%,"9,000"
DYNO,183.00,185.00,185.92,183.00,183.00,0.00,0.00%,"9,000"
