SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
PIBTL,12.90,12.97,13.65,12.85,13.55,0.65,5.04%,"50,015,500"
UNITY,27.92,28.05,29.05,27.82,28.43,0.51,1.83%,"35,614,500"
KEL,3.69,3.70,3.73,3.57,3.63,-0.06,-1.63%,"34,142,000"
PRL,19.49,19.61,20.15,19.48,19.80,0.31,1.59%,"33,834,000"
TRG,75.72,75.60,78.90,74.68,77.69,1.97,2.60%,"33,697,500"
LOTCHEM,14.18,14.30,14.75,14.01,14.46,0.32,2.26%,"16,975,500"
ANL,20.75,20.90,22.30,20.90,22.29,1.54,7.42%,"13,876,500"
JSCL,28.57,28.70,29.74,28.20,28.89,0.32,1.12%,"12,970,000"
MLCF,41.16,41.30,41.78,40.71,41.46,0.30,0.73%,"12,137,891"
STPL,18.76,20.00,20.16,18.25,18.50,-0.26,-1.39%,"10,396,500"
HBL,131.31,131.01,138.22,131.01,132.32,1.01,0.77%,"10,067,093"
BYCO,9.51,9.50,9.95,9.45,9.70,0.19,2.00%,"9,913,000"
EPCL,47.26,47.69,48.90,47.36,47.74,0.48,1.02%,"8,889,500"
NETSOL,117.99,122.49,126.83,122.49,126.83,8.84,7.49%,"8,631,000"
ATRL,157.97,159.95,165.86,158.00,164.67,6.70,4.24%,"8,272,500"
HASCOL,14.83,14.99,15.00,14.63,14.68,-0.15,-1.01%,"7,419,429"
NBP,41.89,41.55,44.50,41.50,42.28,0.39,0.93%,"6,860,500"
PAEL,35.37,35.45,36.19,35.20,35.75,0.38,1.07%,"6,748,000"
FFL,15.71,15.80,16.00,15.37,15.46,-0.25,-1.59%,"6,188,500"
AGL,5.23,5.35,5.55,5.25,5.34,0.11,2.10%,"6,171,500"
AVN,76.76,76.67,77.65,75.75,76.14,-0.62,-0.81%,"5,284,000"
ECOP,33.50,34.00,36.01,33.50,36.01,2.51,7.49%,"5,230,000"
SNGP,44.17,44.31,44.31,43.60,43.69,-0.48,-1.09%,"4,415,527"
FCCL,21.35,21.35,21.69,21.17,21.53,0.18,0.84%,"4,415,500"
ASL,19.28,19.27,19.60,19.10,19.26,-0.02,-0.10%,"4,383,500"
PREMA,18.55,18.65,19.25,18.65,19.06,0.51,2.75%,"4,023,000"
HUBCXD,79.62,80.00,80.75,79.11,79.44,-0.18,-0.23%,"3,889,752"
TPL,7.46,7.56,7.79,7.51,7.64,0.18,2.41%,"3,741,500"
GGLR1,2.55,2.55,2.67,2.44,2.53,-0.02,-0.78%,"3,516,000"
AGHA,33.89,33.60,34.68,33.60,34.23,0.34,1.00%,"3,233,000"
POWER,9.58,9.61,9.78,9.52,9.67,0.09,0.94%,"3,056,500"
ASTL,46.51,47.20,47.40,46.20,47.18,0.67,1.44%,"3,010,000"
FFCXD,100.07,100.25,102.49,100.20,102.09,2.02,2.02%,"2,877,831"
TELE,2.15,2.19,2.25,2.00,2.02,-0.13,-6.05%,"2,830,500"
ASC,17.31,17.59,17.59,16.75,16.84,-0.47,-2.72%,"2,816,000"
HUMNL,5.88,5.88,5.98,5.75,5.81,-0.04,-0.68%,"2,765,500"
BIPL,10.50,10.65,10.98,10.50,10.73,0.23,2.19%,"2,763,500"
SSGC,14.43,14.41,14.59,14.30,14.33,-0.10,-0.69%,"2,754,000"
NRL,266.26,278.99,286.22,275.05,286.22,19.96,7.50%,"2,598,000"
KAPCO,28.83,28.83,28.95,28.50,28.72,-0.11,-0.38%,"2,405,000"
WTL,1.02,1.05,1.05,1.01,1.01,-0.01,-0.98%,"2,273,500"
MCB,181.97,180.75,183.78,180.75,181.97,0.00,0.00%,"2,152,688"
EFERTXD,61.58,61.50,61.99,60.51,61.65,0.07,0.11%,"2,068,435"
FFBL,20.94,20.89,21.00,20.60,20.67,-0.27,-1.29%,"1,949,500"
FFBLR,6.54,6.39,6.55,6.25,6.32,-0.22,-3.36%,"1,943,500"
BOP,9.00,9.00,9.14,8.97,9.00,0.00,0.00%,"1,895,500"
MEBL,97.74,97.75,99.00,97.52,97.94,0.20,0.20%,"1,810,221"
WAVES,28.12,28.49,29.10,28.40,28.88,0.76,2.70%,"1,664,500"
MACFL,23.34,23.60,24.40,23.30,24.07,0.73,3.13%,"1,617,500"
TREET,32.18,32.30,32.98,31.73,32.20,0.02,0.06%,"1,564,000"
BAFLXD,34.34,34.59,35.10,34.50,34.98,0.64,1.86%,"1,539,454"
ISL,83.08,83.00,84.00,82.25,83.02,-0.06,-0.07%,"1,497,000"
FCEPL,70.14,70.14,74.80,70.00,73.04,2.90,4.13%,"1,445,000"
AGSML,5.80,6.20,6.62,5.80,6.16,0.36,6.21%,"1,430,500"
DGKC,108.11,108.60,108.90,107.20,108.41,0.30,0.28%,"1,389,124"
UBL,126.52,125.65,127.85,125.65,126.08,-0.44,-0.35%,"1,316,464"
SILK,0.91,0.92,0.93,0.90,0.90,-0.01,-1.10%,"1,278,500"
OGDC,101.79,102.00,102.18,101.10,101.83,0.04,0.04%,"1,276,135"
DSLDEF,4.45,4.48,4.78,4.36,4.64,0.19,4.27%,"1,119,500"
FNEL,13.76,13.80,14.29,13.80,14.03,0.27,1.96%,"1,116,500"
AICL,38.35,38.25,39.00,38.00,38.50,0.15,0.39%,"1,073,500"
MUGHAL,66.79,66.52,67.60,66.01,66.60,-0.19,-0.28%,"1,062,000"
SERF,27.18,27.50,27.98,25.15,25.15,-2.03,-7.47%,"993,500"
OLPL,25.65,25.15,25.75,25.12,25.52,-0.13,-0.51%,"989,500"
PPL,90.06,90.06,90.35,89.16,89.76,-0.30,-0.33%,"983,935"
PSO,199.66,200.50,200.50,199.00,199.20,-0.46,-0.23%,"969,307"
ILP,61.65,61.89,63.01,61.50,62.00,0.35,0.57%,"957,500"
GGGL,14.39,14.39,14.40,14.00,14.32,-0.07,-0.49%,"930,000"
NML,91.08,91.00,92.50,90.03,90.38,-0.70,-0.77%,"890,000"
SHEL,246.48,256.00,258.00,251.10,253.90,7.42,3.01%,"875,700"
SAZEW,160.18,159.60,164.20,158.00,162.04,1.86,1.16%,"845,200"
KOSM,3.76,3.83,3.85,3.66,3.70,-0.06,-1.60%,"805,500"
GATM,33.49,33.50,34.09,33.30,33.46,-0.03,-0.09%,"791,000"
STCL,20.20,20.45,20.45,19.90,20.19,-0.01,-0.05%,"723,000"
BAHL,69.95,69.06,71.49,69.05,70.88,0.93,1.33%,"710,825"
GHNI,271.13,272.50,274.50,267.23,268.76,-2.37,-0.87%,"693,200"
DOL,31.83,31.65,32.39,31.65,31.86,0.03,0.09%,"679,000"
DCL,9.91,9.97,9.98,9.81,9.87,-0.04,-0.40%,"669,000"
AGP,118.44,116.00,119.40,116.00,118.88,0.44,0.37%,"664,500"
AKBL,19.47,19.50,19.75,19.41,19.71,0.24,1.23%,"654,500"
NRSL,8.38,8.40,8.58,8.25,8.29,-0.09,-1.07%,"627,000"
SYS,373.42,374.00,386.50,367.99,373.75,0.33,0.09%,"618,800"
HTLXD,43.57,43.37,43.99,42.61,42.73,-0.84,-1.93%,"617,000"
TRPOL,8.20,8.25,8.63,8.19,8.56,0.36,4.39%,"606,500"
SKRS,9.46,9.45,10.15,9.45,10.09,0.63,6.66%,"594,000"
CTM,4.01,4.14,4.31,4.10,4.12,0.11,2.74%,"565,000"
GGL,12.73,12.65,12.88,12.61,12.77,0.04,0.31%,"562,000"
CRTM,24.62,24.10,26.46,24.10,26.46,1.84,7.47%,"544,000"
PIOC,93.56,92.75,94.45,92.75,93.37,-0.19,-0.20%,"483,000"
THCCL,20.56,20.69,20.75,20.05,20.25,-0.31,-1.51%,"481,500"
ENGRO,305.82,306.35,306.35,302.20,303.08,-2.74,-0.90%,"471,573"
TOMCL,28.92,29.00,29.28,28.51,28.76,-0.16,-0.55%,"455,500"
PIAA,4.46,4.46,4.55,4.42,4.45,-0.01,-0.22%,"443,500"
LOADS,18.67,18.75,19.39,18.71,18.89,0.22,1.18%,"438,500"
PTC,8.93,9.00,9.00,8.90,8.91,-0.02,-0.22%,"437,000"
