SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,22.08,22.35,23.17,22.16,22.99,0.91,4.12%,"67,076,500"
PIBTL,13.55,13.75,14.18,13.55,13.95,0.40,2.95%,"42,942,500"
FFL,16.47,16.70,17.70,16.70,17.70,1.23,7.47%,"29,875,500"
UNITY,15.53,15.53,16.24,15.53,16.14,0.61,3.93%,"25,349,500"
BOP,10.06,10.26,10.26,10.00,10.02,-0.04,-0.40%,"20,437,500"
ASC,18.52,18.60,19.90,18.20,19.90,1.38,7.45%,"18,684,000"
KEL,4.24,4.24,4.32,4.08,4.10,-0.14,-3.30%,"12,971,000"
BYCO,11.29,11.25,11.45,10.90,10.97,-0.32,-2.83%,"12,696,500"
JSCL,30.42,32.70,32.70,31.60,32.70,2.28,7.50%,"12,452,500"
JSBL,7.24,7.39,7.51,6.94,7.01,-0.23,-3.18%,"12,405,000"
FFBL,20.48,20.60,22.01,20.60,21.96,1.53,7.49%,"10,405,500"
TRG,60.04,60.49,60.92,59.02,59.68,-0.36,-0.60%,"10,134,000"
PTC,10.87,10.85,11.09,10.67,10.71,-0.16,-1.47%,"9,760,000"
MLCF,38.73,38.73,39.68,38.01,39.19,0.46,1.19%,"8,940,500"
POWER,9.86,9.90,9.97,9.44,9.67,-0.19,-1.93%,"8,775,500"
SILK,1.15,1.14,1.29,1.14,1.25,0.10,8.70%,"8,562,500"
SMBLDEF,1.82,2.00,2.10,1.91,1.93,0.11,6.04%,"8,434,000"
TRPOL,9.60,9.85,10.60,9.85,10.57,0.95,9.88%,"8,038,500"
FCCL,22.03,22.25,22.33,21.65,22.17,0.14,0.64%,"7,084,000"
PACE,3.86,3.98,4.26,3.98,4.07,0.21,5.44%,"6,633,000"
PRL,22.99,23.03,23.32,22.60,22.72,-0.27,-1.17%,"6,117,000"
WTL,1.34,1.35,1.38,1.28,1.30,-0.04,-2.99%,"5,645,000"
ASTL,50.90,51.00,51.90,50.25,50.48,-0.42,-0.83%,"5,554,000"
PAEL,38.07,38.30,38.59,37.65,38.20,0.13,0.34%,"5,534,500"
ASL,14.11,14.40,14.65,13.90,14.46,0.35,2.48%,"5,214,500"
PSO,203.47,205.00,209.00,199.10,206.99,3.52,1.73%,"4,876,112"
CSIL,3.51,3.70,3.70,3.30,3.55,0.04,1.14%,"4,715,500"
FNEL,17.87,18.99,19.21,18.40,18.80,0.93,5.20%,"4,659,500"
DGKC,113.31,113.10,113.99,109.50,110.16,-3.15,-2.78%,"4,409,000"
