SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
PIBTL,13.35,13.69,14.30,13.55,13.98,0.63,4.72%,"75,507,500"
UNITY,16.83,16.65,18.09,16.65,18.09,1.26,7.49%,"45,277,000"
FFL,18.61,18.50,19.59,18.15,19.32,0.84,4.55%,"38,861,500"
KEL,4.09,4.15,4.34,4.10,4.28,0.19,4.65%,"35,377,500"
KAPCO,29.97,29.01,29.25,27.85,28.10,-1.87,-6.24%,"35,293,000"
PTC,11.71,11.80,12.09,11.50,11.63,-0.08,-0.68%,"28,181,500"
HASCOL,22.09,22.00,22.38,21.65,22.02,-0.07,-0.32%,"26,375,500"
ASC,20.84,20.55,20.95,19.45,19.94,-0.69,-3.34%,"14,471,500"
PRL,21.62,21.60,22.55,21.10,22.35,0.73,3.38%,"14,081,500"
POWER,9.67,9.67,9.68,9.37,9.42,-0.25,-2.59%,"11,528,500"
JSCL,28.06,27.75,29.80,26.70,28.52,0.46,1.64%,"11,008,500"
FFBL,22.59,22.50,23.24,22.01,23.03,0.44,1.95%,"10,684,000"
PAEL,38.34,38.49,38.85,37.69,38.21,-0.13,-0.34%,"8,314,500"
TRG,57.74,57.61,58.02,56.60,57.45,-0.29,-0.50%,"7,840,500"
PREMA,21.54,21.35,23.15,21.35,23.15,1.61,7.47%,"6,022,000"
MLCF,39.93,39.60,39.90,39.39,39.48,-0.45,-1.13%,"4,890,500"
BOP,9.91,9.90,10.00,9.80,9.85,-0.06,-0.61%,"4,515,500"
BYCO,11.06,11.06,11.19,10.78,10.85,-0.21,-1.90%,"4,458,500"
TOMCL,28.72,28.73,30.87,28.72,30.55,1.83,6.37%,"4,408,500"
EPCL,44.19,44.40,44.75,43.10,43.20,-0.99,-2.24%,"4,020,000"
JSBL,7.14,7.11,7.25,7.00,7.14,0.00,0.00%,"3,975,500"
TELE,2.10,2.09,2.25,1.98,2.09,-0.01,-0.48%,"3,950,000"
LPL,14.87,14.90,15.50,14.50,14.78,-0.09,-0.61%,"3,765,500"
OGDC,109.40,110.00,113.50,107.10,112.35,2.95,2.70%,"3,354,422"
PSX,15.62,15.90,16.64,15.50,16.41,0.74,4.72%,"3,221,000"
FCCL,21.71,21.75,21.80,21.50,21.54,-0.17,-0.78%,"3,117,500"
ASL,14.36,14.40,14.70,14.12,14.51,0.15,1.04%,"2,836,500"
WTL,1.29,1.29,1.32,1.22,1.27,-0.02,-1.55%,"2,813,500"
AHCL,45.17,44.52,46.50,41.79,41.79,-3.38,-7.48%,"2,546,000"
PIAA,5.12,5.14,5.49,5.14,5.31,0.19,3.71%,"2,520,500"
DGKC,112.97,112.20,112.50,110.80,112.03,-0.94,-0.83%,"2,351,500"
NRSL,10.58,10.60,10.80,10.35,10.40,-0.18,-1.70%,"2,337,500"
FNEL,20.08,20.25,20.40,19.45,19.61,-0.47,-2.34%,"2,288,000"
FFCXD,109.90,110.00,111.98,109.51,111.66,1.76,1.60%,"2,219,936"
DFMLDEF,8.69,8.75,9.44,8.51,9.32,0.63,7.25%,"2,142,000"
LOTCHEM,13.43,13.43,13.50,13.25,13.36,-0.07,-0.52%,"2,135,000"
SPEL,48.40,48.40,48.85,45.00,46.82,-1.58,-3.26%,"2,108,000"
THCCL,20.06,20.50,21.56,19.95,21.56,1.50,7.48%,"2,102,500"
WAVES,30.22,30.53,30.70,30.00,30.48,0.26,0.86%,"2,063,000"
DCL,11.31,11.25,11.37,11.15,11.17,-0.15,-1.33%,"1,946,000"
NML,104.68,104.02,108.50,103.00,106.07,1.39,1.33%,"1,945,000"
UBL,126.49,126.98,129.79,126.50,128.93,2.44,1.93%,"1,938,857"
SNBL,9.54,9.42,10.00,9.42,9.86,0.32,3.35%,"1,889,500"
MUGHAL,70.36,70.50,71.20,69.40,70.03,-0.33,-0.47%,"1,771,000"
SERF,8.12,7.95,8.60,7.90,8.47,0.35,4.31%,"1,729,500"
RPL,40.53,41.20,41.99,39.00,39.44,-1.09,-2.69%,"1,587,000"
BGL,7.92,7.94,8.43,7.94,8.12,0.20,2.53%,"1,587,000"
ECOP,20.35,20.36,21.00,18.90,19.92,-0.43,-2.11%,"1,582,000"
PPL,98.12,98.59,99.10,98.01,98.71,0.59,0.60%,"1,564,465"
TPL,6.80,6.62,6.88,6.28,6.46,-0.34,-5.00%,"1,484,500"
SPL,27.17,27.25,27.80,26.10,26.27,-0.90,-3.31%,"1,436,500"
SSGC,17.04,16.96,17.25,16.85,17.10,0.06,0.35%,"1,399,000"
DOL,47.69,48.49,49.00,47.35,47.67,-0.34,-0.71%,"1,382,000"
SILK,1.12,1.12,1.19,1.07,1.10,-0.02,-1.79%,"1,366,000"
AVN,67.46,68.00,68.15,66.60,66.99,-0.47,-0.70%,"1,345,000"
BIPL,11.05,11.20,11.25,10.76,11.12,0.07,0.63%,"1,335,000"
SMBLDEF,2.07,2.00,2.14,2.00,2.07,0.00,0.00%,"1,278,000"
CSIL,3.16,3.20,3.49,3.05,3.44,0.25,7.84%,"1,269,500"
